Facility Name,GLOBALID,Address,City,Zip Code,Phone Number,created_user,created_date,last_edited_user,last_edited_date,OBJECTID,Photo,Bus Route,Monday Opening Time,Monday Closing Time,Tuesday Opening Time,Tuesday Closing Time,Wednesday Opening Time,Wednesday Closing Time,Thursday Opening Time,Thursday Closing Time,Friday Opening Time,Friday Closing Time,Saturday Opening Time,Saturday Closing Time,Sunday Opening Time,Sunday Closing Time,Books and Materials?,Downloadable Materials?,Streaming Materials?,Story Times?,Conference Center?,Meeting Rooms?,Art Gallery?,Public Computers?,Wireless?,Group Study?,Copy Machines?,Seed Exchange?,Studio NPL?,Restrooms?,Book Drop?,Notes,x,y
Looby,fcb5582c-bac8-46d9-be74-05a4143a4767,2301 Rosa L. Parks Blvd,Nashville,37228,615-862-5867,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,11,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_LO.jpg),#9,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1730047.22916667,677919.463541672
Madison,f7d8fb62-6af5-48c3-9431-2b41afa2d571,610 Gallatin Pike S,Madison,37115,615-862-5868,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,12,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_ma.jpg),"#26, #56, #76",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1757487.02354167,701161.909166664
North,49259ec6-f1e6-4154-af19-5d89debd889a,1001 Monroe St,Nashville,37208,615-862-5858,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,13,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_NO.jpg),"#29, #42",10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1733601.96791667,671000.10041666
Old Hickory,c4cfa2a5-a968-427d-b525-557851907bc5,1010 Jones St,Old Hickory,37138,615-862-5869,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,14,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_OH.jpg),#27,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1777961.685625,701961.467291668
Pruitt,f5a1bca4-f239-404d-a688-d8060a5788c1,117 Charles E. Davis Blvd,Nashville,37210,615-862-5985,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,15,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_PR.jpg),#25,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1743632.88145833,662767.622291669
Richland Park,91698450-b3f3-4b00-a30c-ffe9da889f73,4711 Charlotte Ave,Nashville,37209,615-862-5870,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,16,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_RP.jpg),#10,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1719220.22604166,662955.338958338
Southeast ,873c2acc-322c-4548-a60e-23a44e812613,5260 Hickory Hollow Pkwy,Antioch,37013,615-862-5871,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,17,View Photo (http://dataimages.nashville.gov/Metro_Libraries/SE_exterior.jpg),"#15, #55 BRT",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1774515.41708334,626580.629166663
Thompson Lane,6a630f1b-ae19-4c5a-9791-eb93a475e415,380 Thompson Ln,Nashville,37211,615-862-5873,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,18,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_tl_int.jpg),#12,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1748954.120625,647983.368541673
Watkins Park,3891f370-bc2c-4293-afb4-b7afd4d22836,612 17th Ave N,Nashville,37203,615-862-5872,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,19,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_wp_int.jpg),"#19, #25",10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,"CLOSED for renovation until June 2016
Call library to confirm hours on holidays and in the event of severe weather.",1732491.81583333,666824.828749999
Donelson,27450882-4093-44c4-af4f-07765708f717,2315 Lebanon Rd,Nashville,37214,615-862-5859,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,20,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_DO.jpg),#6,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,1766765.76875,668668.879791662
Main,e7c4ccc3-ee8c-42fb-9612-f7148b81357c,615 Church St,Nashville,37219,615-862-5800,CollaborationAdminNashville,12/16/2024 7:26:53 PM,CollaborationAdminNashville,12/16/2024 7:26:53 PM,21,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_main.jpg),Walking distance from Music City Central,9:00AM,6:00 PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,1737772.14479166,666483.873541668
